customerId,email,name,phone
C001,c001@naver.com,강지현,010-8998-8514
C002,c002@gmail.com,김수빈,010-7234-8818
C003,c003@naver.com,최지우,010-9013-6269
C004,c004@example.com,최지우,010-5017-5967
C005,c005@kakao.com,임민서,010-6129-5005
C006,c006@kakao.com,정예준,010-6392-4684
C007,c007@daum.net,박하은,010-3361-6030
C008,c008@naver.com,박수빈,010-3257-6269
C009,c009@naver.com,박예준,010-5606-7049
C010,c010@naver.com,조수빈,010-7316-3021
C011,c011@daum.net,조수빈,010-9806-9086
C012,c012@daum.net,김민준,010-6053-4767
C013,c013@daum.net,이민서,010-3879-7821
C014,c014@daum.net,최지현,010-7311-6274
C015,c015@gmail.com,박수빈,010-5526-4423
C016,c016@gmail.com,임하은,010-4714-1537
C017,c017@example.com,임서준,010-8697-1711
C018,c018@naver.com,조지현,010-9458-8619
C019,c019@kakao.com,최예준,010-2696-8439
C020,c020@gmail.com,윤유진,010-5957-2127
C021,c021@naver.com,최시우,010-8245-3362
C022,c022@daum.net,정소율,010-9749-7574
C023,c023@example.com,김하은,010-6123-4443
C024,c024@example.com,윤지우,010-4638-4624
C025,c025@daum.net,임유진,010-8565-8976
C026,c026@gmail.com,최지우,010-1641-4642
C027,c027@kakao.com,강지민,010-1064-6754
C028,c028@gmail.com,강시우,010-8828-7940
C029,c029@kakao.com,정하은,010-3443-8512
C030,c030@daum.net,장소율,010-2949-8386
C031,c031@daum.net,조예진,010-6578-5144
C032,c032@gmail.com,정민준,010-8144-2566
C033,c033@naver.com,박서준,010-4713-2205
C034,c034@gmail.com,최민준,010-1894-9280
C035,c035@daum.net,정서연,010-4206-8164
C036,c036@example.com,최민준,010-5673-8184
C037,c037@gmail.com,윤하은,010-9250-2914
C038,c038@gmail.com,장도윤,010-3191-6951
C039,c039@daum.net,박수빈,010-9347-7730
C040,c040@kakao.com,정하은,010-9950-6162
C041,c041@example.com,조서연,010-7595-7444
C042,c042@example.com,김시우,010-5651-1032
C043,c043@daum.net,이민준,010-3348-2218
C044,c044@example.com,박수빈,010-4532-6012
C045,c045@naver.com,박서준,010-6882-8659
C046,c046@naver.com,임수빈,010-3301-2224
C047,c047@kakao.com,윤서준,010-8563-4754
C048,c048@gmail.com,최유진,010-7606-3385
C049,c049@naver.com,정서연,010-2239-6081
C050,c050@gmail.com,조서연,010-7193-4328
C051,c051@daum.net,이지민,010-4358-7133
C052,c052@kakao.com,윤지현,010-4076-3914
C053,c053@naver.com,장수빈,010-7642-1509
C054,c054@naver.com,장지민,010-9171-7484
C055,c055@kakao.com,이소율,010-6259-6408
C056,c056@naver.com,임지민,010-5591-8601
C057,c057@naver.com,장서준,010-6115-2747
C058,c058@example.com,강지현,010-7336-7407
C059,c059@gmail.com,임민준,010-6729-4152
C060,c060@naver.com,최소율,010-2410-6223
C061,c061@naver.com,조시우,010-6827-7587
C062,c062@kakao.com,장예준,010-6434-7712
C063,c063@daum.net,강도윤,010-1729-4146
C064,c064@kakao.com,박예준,010-2912-7237
C065,c065@example.com,조유진,010-6223-7767
C066,c066@daum.net,최소율,010-4934-7242
C067,c067@naver.com,박서준,010-3841-8048
C068,c068@example.com,정시우,010-1913-3788
C069,c069@gmail.com,박민준,010-2238-7725
C070,c070@kakao.com,박민준,010-9108-7075
C071,c071@kakao.com,강서연,010-3098-8048
C072,c072@kakao.com,강서준,010-9114-3399
C073,c073@daum.net,조지민,010-5037-6688
C074,c074@daum.net,정수빈,010-4315-8580
C075,c075@gmail.com,이소율,010-1334-3935
C076,c076@gmail.com,윤도윤,010-2466-8832
C077,c077@daum.net,최민서,010-9152-1739
C078,c078@naver.com,최서준,010-4699-8857
C079,c079@daum.net,장민서,010-9856-9696
C080,c080@naver.com,조지민,010-8691-8885
C081,c081@daum.net,장유진,010-1959-9871
C082,c082@kakao.com,이예준,010-3439-2658
C083,c083@daum.net,강예진,010-5848-9370
C084,c084@daum.net,박예진,010-6675-7555
C085,c085@gmail.com,박민준,010-8221-4605
C086,c086@daum.net,김민준,010-9497-9252
C087,c087@example.com,윤소율,010-4307-8080
C088,c088@naver.com,최하은,010-5357-5913
C089,c089@gmail.com,최시우,010-6868-1015
C090,c090@gmail.com,최서준,010-5572-2911
C091,c091@daum.net,임예진,010-4181-5202
C092,c092@example.com,박민준,010-8104-8258
C093,c093@kakao.com,장소율,010-6340-5261
C094,c094@gmail.com,최도윤,010-7003-8775
C095,c095@daum.net,강소율,010-6040-6492
C096,c096@daum.net,임지우,010-9657-8145
C097,c097@example.com,임서준,010-9464-4749
C098,c098@example.com,최지민,010-8165-6039
C099,c099@daum.net,장도윤,010-6915-4832
C100,c100@daum.net,강서준,010-5288-3211
